city,x,y
Adana,8.0,-106.0
Adıyaman,169.0,-75.0
Afyonkarahisar,-267.0,-6.0
Ağrı,444.0,63.0
Aksaray,-79.0,-26.0
Amasya,26.0,141.0
Ankara,-155.0,84.0
Antalya,-247.0,-128.0
Ardahan,430.0,175.0
Artvin,378.0,183.0
Aydın,-417.0,-77.0
Balıkesir,-422.0,66.0
Bartın,-162.0,214.0
Batman,345.0,-76.0
Bayburt,281.0,110.0
Bilecik,-302.0,98.0
Bingöl,307.0,17.0
Bitlis,401.0,-20.0
Bolu,-206.0,135.0
Burdur,-300.0,-95.0
Bursa,-361.0,101.0
Çanakkale,-494.0,94.0
Çankırı,-107.0,143.0
Çorum,-36.0,128.0
Denizli,-352.0,-74.0
Diyarbakır,286.0,-50.0
Düzce,-237.0,156.0
Edirne,-497.0,221.0
Elazığ,215.0,-15.0
Erzincan,212.0,62.0
Erzurum,346.0,83.0
Eskişehir,-257.0,62.0
Gaziantep,119.0,-124.0
Giresun,180.0,141.0
Gümüşhane,234.0,118.0
Hakkari,500.0,-93.0
Hatay,53.0,-178.0
Iğdır,490.0,80.0
Isparta,-254.0,-61.0
İstanbul,-379.0,174.0
İzmir,-462.0,-43.0
Kahramanmaraş,83.0,-77.0
Karabük,-158.0,175.0
Karaman,-120.0,-114.0
Kars,436.0,113.0
Kastamonu,-96.0,204.0
Kayseri,18.0,-7.0
Kırıkkale,-98.0,78.0
Kırklareli,-458.0,219.0
Kırşehir,-71.0,38.0
Kilis,102.0,-143.0
Kocaeli,-315.0,153.0
Konya,-175.0,-50.0
Kütahya,-330.0,39.0
Malatya,152.0,-18.0
Manisa,-423.0,-0.0
Mardin,309.0,-110.0
Mersin,-72.0,-149.0
Muğla,-415.0,-118.0
Muş,364.0,5.0
Nevşehir,-31.0,-9.0
Niğde,-39.0,-64.0
Ordu,125.0,150.0
Osmaniye,54.0,-117.0
Rize,314.0,160.0
Sakarya,-276.0,146.0
Samsun,40.0,181.0
Siirt,388.0,-63.0
Sinop,-19.0,221.0
Sivas,106.0,59.0
Şanlıurfa,214.0,-118.0
Şırnak,416.0,-102.0
Tekirdağ,-460.0,171.0
Tokat,67.0,117.0
Trabzon,252.0,153.0
Tunceli,238.0,29.0
Uşak,-341.0,-17.0
Van,482.0,-26.0
Yalova,-345.0,136.0
Yozgat,-4.0,66.0
Zonguldak,-202.0,190.0