Italian,Turkish
non,Olumsuz
di,İle ilgili
che,O
è,Ve
e,Ve
la,Orası
il,O
un,A
a,ile
per,İçin
in,içinde
una,A
mi,Ben
sono,Ben
ho,Bende var
ma,Ancak
l',o
lo,o
ha,sahip olmak
le,o
si,Evet
ti,Sen
i,o
con,ile
cosa,Ne
se,eğer
io,BEN
come,gibi
da,itibaren
ci,Orada
no,HAYIR
questo,Bu
qui,Burada
e',Ve'
hai,var
sei,altı
del,-nın
bene,Kuyu
tu,Sen
sì,Evet
me,Ben
più,Daha
al,-e
mio,Benim
c',Orası
perché,Neden
lei,o
solo,Yalnız
te,çay
era,dönem
gli,O
tutto,Tüm
della,-den
così,Bunun gibi
mia,Benim
ne,HAYIR
questa,Bu
fare,Yapmak
quando,Ne zaman
ora,Şimdi
fatto,Tamamlamak
essere,olmak
so,Biliyorum
mai,Asla
chi,DSÖ
o,veya
alla,de
tutti,herkes
molto,Çok
dei,-nın
anche,Ayrıca
detto,söz konusu
quello,O
va,Gitmek
niente,Hiç bir şey
grazie,Teşekkür ederim
lui,o
voglio,İstiyorum
abbiamo,sahibiz
stato,durum
nel,İçinde
suo,onun
dove,Nerede
posso,Yapabilirim
oh,Ah
prima,Önce
allora,O zaman
siamo,biz
d',ile ilgili
uno,A
un',A
sua,onun
tuo,senin
hanno,onlar sahip
noi,biz
sta,dır
fa,evvel
due,iki
vuoi,sen istiyorsun
ancora,Hala
qualcosa,bir şey
vero,Doğru
casa,ev
sia,dır
su,Açık
tua,senin
sempre,Her zaman
forse,Belki
dire,söylemek
vi,Sen
loro,Onlar
i',o
altro,diğer
sai,Biliyorsun
stai,sen
devo,Mecburum
quella,O
vita,hayat
quel,O
delle,-den
tempo,zaman
andare,Gitmek
certo,Kesin
poi,Daha sonra
nella,içinde
uomo,Adam
signore,Beyefendi
ad,ile
po',biraz
può,olabilmek
credo,İnanıyorum ki
voi,Sen
già,Çoktan
adesso,Şimdi
andiamo,Haydi gidelim
anni,yıllar
all',-e
visto,görüş
fuori,dışarı
proprio,sahip olmak
parte,parça
davvero,Gerçekten
vuole,istiyor
li,Orası
dell',-nın
sto,Ben
quanto,Ne kadar
volta,zaman
via,uzak
sul,üzerinde
é,Ve
dio,Tanrı
sarà,olacak
dopo,Sonrasında
senza,olmadan
cose,şeyler
nessuno,Hiç kimse
fai,Yapmalısın
giorno,gün
ed,Ve
meglio,Daha iyi
padre,baba
puoi,yapabilirsiniz
ciao,MERHABA
cos',bu da ne
devi,yapmalısın
ecco,İşte buradasın
qualcuno,birisi
dal,-den
lavoro,İş
sa,biliyor
ai,-e
vedere,Görmek
ogni,Her şey yolunda.
ii,ii
troppo,fazla
posto,yer
cui,Hangi
tanto,bu kadar
male,kötü
dai,Hadi
ce,orada
bisogno,ihtiyaç
signor,Bay
beh,Kuyu
perchè,Neden
vieni,Sen geliyorsun
alle,-e
dalla,-den
stata,idi
tra,Arasında
vai,Gitmek
ehi,Hey
miei,Benim
amico,Arkadaş
dice,diyor ki
sarebbe,muhtemel
avete,var
altra,diğer
deve,mutlak
sulla,üzerinde
qualche,bazı
sembra,öyle görünüyor
gente,insanlar
dobbiamo,zorundayız
modo,yol
tre,Üç
momento,an
prego,Lütfen
parlare,konuşmak
mamma,anne
guarda,Bakmak
signora,Bayan
grande,büyük
lì,Orası
madre,anne
possiamo,yapabiliriz
avanti,Önden buyurun
avere,sahip olmak
successo,başarı
ero,Ben
donna,kadın
nuovo,yeni
ah,Ah
faccio,evet
aveva,Benim vardı
nostro,bizim
degli,-nın
questi,bunlar
siete,sen
forza,Güç
piace,memnuniyet
bella,Tatlı
dov',Neresi
soldi,para
avevo,Benim vardı
favore,iyilik
fosse,dır
altri,diğerleri
dispiace,Üzgünüm
subito,hemen
dentro,içinde
oggi,Bugün
accordo,anlaşma
tutta,Tümü
faccia,yüz
nome,isim
ok,TAMAM
notte,Gece
queste,bunlar
figlio,oğul
mondo,dünya
nostra,bizim
sapere,Bilmek
vado,Gidiyorum
tutte,Tümü
aspetta,Beklemek
amare,Aşk
moglie,eş
sicuro,Güvenli
suoi,onun
penso,Bence
paura,korku
idea,fikir
testa,KAFA
papà,Papa
giusto,Sağ
eh,eh
vorrei,Ben isterim
senti,duyuyorsunuz
presto,Yakında
uomini,erkekler
ll,LL
basta,Yeterli
potrebbe,olabilir
stesso,Aynı
avuto,vardı
porta,getiriyor
erano,onlar
stare,kalmak
buona,İyi
quindi,Öyleyse
farlo,bunu yapmak
appena,en kısa zamanda
abbia,sahip olmak
ragione,sebep
sentito,algı
ragazzi,Erkek çocuklar
domani,Yarın
ragazza,kız
ragazzo,delikanlı
insieme,Birlikte
sotto,altında
volevo,İstedim
pronto,hazır
nei,içinde
ciò,yani
volte,kez
capito,Anlaşıldı
succede,olur
preso,alınmış 
facendo,yapmak
piacere,Zevk
morto,ölü
tuoi,seninki
capitano,kaptan
letto,Yatak
storia,tarih
caso,dava
trovato,kurmak
amici,Arkadaşlar
venire,Gelmek
dico,Diyorum ki
capisco,Anladım
problema,sorun
fino,değin
tipo,tip
là,Orası
qua,Burada
pensi,sence
aver,sahip olmak
giorni,günler
cazzo,Kahretsin
okay,Tamam
nulla,Hiç bir şey
bello,Yakışıklı
persone,insanlar
buon,İyi
terra,Toprak
ia,ia
dato,verilen
secondo,ikinci
film,film
nell',içinde
mano,el
facciamo,Biz yapıyoruz
vediamo,Görüyoruz
vedo,Anlıyorum
stanno,bunlar
avrei,olurdum
prendere,almak
dici,diyorsunuz ki
serve,hizmet eder
morte,ölüm
meno,az
città,şehir
occhi,gözler
fine,son
Sig.,Bay
ê,Ve
tesoro,hazine
scusi,Affedersin
primo,Birinci
credi,inanıyorsunuz
salve,Selamlar
nave,gemi
stiamo,biz
sera,akşam
piano,zemin
sento,Hissettim
macchina,makine
vostro,senin
mani,eller
neanche,hatta
dall',itibaren
dottore,doktor
quale,Hangi
abbastanza,Yeterli
tardi,geç
bel,Güzel
cuore,Kalp
famiglia,aile
far,yapmak
stati,eyaletler
aiuto,yardım
diavolo,şeytan
nostri,bizim
col,ile
quasi,Neredeyse
polizia,polis
capo,patron
avrebbe,olurdu
quei,onlar
mie,Benim
tornare,geri dönmek
però,Ancak
contro,aykırı
viene,O geliyor
mentre,Sırasında
scusa,Affedersin
sola,yalnız
spero,Umarım
quelle,onlar
trovare,bulmak
giro,tur
anch',Ayrıca
guerra,savaş
sue,onun
bambino,çocuk
strada,sokak
vecchio,eskimiş
fratello,Erkek kardeş
acqua,şelale
stasera,bu akşam
pensavo,Düşündüm ki
chiama,Arama
persona,kişi
vedi,Anlıyorsun
fu,oldu
anno,yıl
vostra,seninki
veramente,Tamamen
finito,bitti
marito,Koca
minuti,dakika
giù,altında
donne,kadınlar
bravo,Bravo
bambini,çocuklar
ricordi,hatıralar
quelli,onlar
state,durum
ore,saat
stavo,Ben
dovuto,vadesi dolmuş
nemmeno,hiç biri
venuto,gelmek
indietro,geriye doğru
stessa,Aynı
importa,Önemlidir
nessun,HAYIR
punto,nokta
invece,Yerine
perso,kayıp
possibile,olası
ucciso,öldürüldü
forte,güçlü
pensato,düşünce
dovrebbe,olmalı
pensa,düşünüyor
poco,biraz
parla,konuşuyor
farò,deniz feneri
cercando,arıyor
l,o
verità,gerçek
andato,sol
quell',Şu
re,kral
fanno,Onlar yapıyorlar.
potrei,yapabilirdim
importante,önemli
quest',Bu
amo,Seviyorum
chiesto,soruldu
cosi,Bunun gibi
nelle,içinde
felice,mutlu
piedi,ayak
merda,bok
piccolo,küçük
prendi,sen alıyorsun
dietro,arka
sapevo,Biliyordum.
buongiorno,Günaydın
passato,geçmiş
dollari,dolar
com',Nasıl
pure,saf
pensare,düşünmek
cinque,beş
vicino,Komşu
uscire,dışarı çıkmak
conosco,Biliyorum
verso,karşı
altre,diğer
quattro,dört
morire,ölmek
sangue,kan
John,John
eri,sen
almeno,en azından
dica,söylemek
lascia,yapraklar
vivere,canlı
colpa,suçluluk
portato,taşınmıştır
entrare,girmek
ricordo,Ben hatırlıyorum
pace,barış
roba,şey
Jack,Jack
migliore,geliştirmek
fate,periler
difficile,zor
settimana,hafta
ultima,son
dovrei,Yapayım
fatta,Tamamlandı
conto,Sayıyorum
stanza,oda
fra,arasında
comunque,Her neyse
sentire,hissetmek
numero,sayı
parlato,konuştu
mente,akıl
messo,sıraya koymak
strano,garip
fortuna,talih
perdere,KAYBETMEK
tue,seninki
né,ne de
figlia,Kız çocuğu
molti,birçok
volete,sen istiyorsun
dottor,doktor
parola,kelime
signori,Beyefendiler
andata,gitmiş
vista,görüş
vede,o görüyor
nessuna,hiçbiri
finché,değin
dare,vermek
dammi,ver bana
Mr.,Bay
mesi,aylar
fuoco,ateş
voleva,o istedi
mangiare,yemek yemek
lasciato,sol
figli,çocuklar
serio,cidden
paese,köy
farà,yapacak
capire,anlamak
mezzo,yarım
prova,duruşma
cara,Sayın
perche',Neden'
cane,köpek
dimmi,Söyle bana
fossi,hendekler
senso,algı
James,James
riesco,Yapabiliyorum
ieri,Dün
possa,mayıs
potuto,olabilir
scuola,okul
S.,S.
possono,onlar yapabilirler
lavorare,iş
significa,Bu şu anlama geliyor:
resto,dinlenmek
vada,Gitmek
piccola,küçük
pare,öyle görünüyor
bere,içmek
ben,Peki
cena,akşam yemeği
giovane,genç
problemi,sorunlar
quanti,kaç tane
gran,büyük
attimo,an
ascolta,Dinlemek
agli,-e
dovresti,malısın
corpo,vücut
musica,müzik
gioco,oyun
qual,Hangi
aria,hava
sarò,Ben olacağım
farmi,beni yap
magari,Belki
davanti,önünde
new,yeni
chiamo,Arıyorum
genere,tip 
libro,kitap
domanda,rica etmek
chiamato,isminde
passare,geçmek
dalle,itibaren
campo,alan
lungo,uzun
torna,geri gelmek
paio,çift
stava,idi
finita,bitti
saranno,onlar olacaklar
vogliono,onlar istiyorlar
hey,Hey
cielo,gökyüzü
parole,kelimeler
auto,araba
sorella,kız kardeş
nuova,yeni
stia,kalmak
signorina,Kayıp
festa,parti
spiace,Üzgünüm
sopra,üstünde
bisogna,mutlak
vuol,o istiyor
telefono,telefon
affari,işletme
facile,kolay
parlando,konuşuyorum
caro,Canım
sui,Açık
pronti,hazır
restare,geriye kalmak
attenzione,Dikkat
crede,o inanıyor
nostre,bizim
controllo,kontrol etmek
molte,birçok
unica,eşsiz
dovremmo,yapmalıyız
farti,Kendinizi
soltanto,sadece
piu',Daha'
buono,İyi
puttana,fahişe
vivo,canlı
sappiamo,biliyoruz
luce,ışık
generale,genel
qualsiasi,herhangi
vogliamo,biz istiyoruz
ultimo,son
dicono,diyorlar ki
benissimo,Çok iyi
Harry,Harry
foto,fotoğraf
unico,eşsiz
onore,onur
ragazze,kızlar
scritto,yazılı
andate,Gitmek
tieni,kale
siano,'dır'
ufficio,ofis
entra,girmek
chiedo,Soruyorum
coraggio,cesaret
andando,giden
venga,Gelmek
dieci,on
credevo,İnanıyordum.
voglia,istiyor
potremmo,yapabiliriz
esatto,Kesinlikle
credere,inanmak
tratta,anlaşmalar
eravamo,bizdik
arrivato,ulaşmış
bambina,kız
pistola,tabanca
voce,ses
dormire,uyumak
lasci,ayrılmak
avessi,Benim vardı
chiaro,temizlemek
aspetto,Bekliyorum.
squadra,takım
attento,dikkatli olmak
cerca,yakın
ordine,emir
Joey,Joey
arrivederci,Tekrar görüşene kadar
arriva,o geliyor
armi,silahlar
sulle,üzerinde
ormai,Bu noktada
maggiore,daha büyük
fretta,acele etmek
sarai,Sen olacaksın
sacco,çuval
fatti,gerçekler
York,York
parli,sen konuşuyorsun
colpo,vurmak
sarei,Ben
m',Ben
caffè,Kahve
capisci,anladın
dicendo,söz
vostri,seninki
camera,oda
alcuni,bazı
cercare,aramak
arrivo,Varıyorum
aspettare,Beklemek
situazione,durum
faremo,Yapacağız
deciso,karar verilmiş
esattamente,Kesinlikle
dev',mutlak
addio,Güle güle
scena,sahne
inglese,İngilizce
perfetto,Mükemmel
potete,yapabilirsiniz
fammi,benim için yap
alto,yüksek
dello,-nın
prendo,Ben alıyorum
conosci,Biliyorsun
be',Peki
sapete,Biliyorsun
pazzo,deli
chiami,siz ararsınız
tornato,geri döndü
sicura,güvenli
lasciare,ayrılmak
capelli,saç
potere,şekerler
avevi,sende vardı
morti,ölü
avrà,sahip olacak
fantastico,Fantastik
matrimonio,evlilik
passo,adım
portare,getirmek
aspetti,bakış açıları
torno,Geri dönüyorum
arrivare,varmak
guai,bela
trova,bulgular
motivo,sebep
resta,kalmak
inizio,başlangıç
smettila,durdurun
diventare,haline gelmek
potresti,yapabilirdin
n',N'
voluto,aranan
vanno,onlar gidiyorlar
disse,dedi ki
morta,ölü
de,ile ilgili
bagno,banyo
zio,Amca
futuro,gelecek
sbagliato,yanlış
guardi,Bakmak
cosi',Bunun gibi'
sicurezza,emniyet
pezzo,parça
devono,onlar
venuta,gelen
allo,de
tenente,teğmen
silenzio,sessizlik
porto,liman
uccidere,öldürmek
odio,nefret
sull',üzerinde
giocare,oynamak
lontano,mesafe
durante,sırasında
segreto,gizli
sole,güneş
mettere,koymak
venite,Gelmek
dirmi,Söyle bana
sistema,sistem
viaggio,yolculuk
causa,neden
r,R
comandante,komutan
settimane,haftalar
semplice,basit
minuto,dakika
divertente,eğlence
avresti,sen sahip olurdun
grandi,büyük
presidente,başkan
bocca,ağız
permesso,izin vermek
vecchia,eskimiş
culo,eşek
sogno,rüya
glielo,ona ver
c,C
guardare,kol saati
probabilmente,muhtemelen
vengo,Geliyorum
lasciami,beni yalnız bırak
ie,yani
negli,içinde
do,Yapmak
fermo,durdu
zitto,kapa çeneni
vera,doğru
tante,birçok
ln,ln
colonnello,Albay
stupido,aptal
Cristo,İsa
conosce,O biliyor.
fame,açlık
cura,tedavi
prigione,hapishane
finire,sona ermek
farai,yapacaksın
d,D
buonanotte,İyi geceler
Tom,Tom
prossima,Sonraki
brava,İyi
specie,türler
prende,almak
piacerebbe,Ben istiyorum
circa,hakkında
funziona,işler
dovete,yapmalısın
brutto,kötü
vattene,çekip gitmek
sente,o hissediyor
cavallo,atış
peccato,Günah
mattina,Sabah
consiglio,öğüt vermek
cambiare,değiştirmek
saperlo,onu bilmek
usare,kullanmak
naturalmente,doğal olarak
continua,devam ediyor
scelta,seçenek
possibilità,olasılık
spesso,Sıklıkla
dà,itibaren
dirti,sana söyleyeceğim
piuttosto,yerine
trovo,Buldum ki
fondo,alt
ricorda,Unutma
guardate,Bakmak
ospedale,hastane
qualunque,herhangi biri
Maria,Mary
andrà,gidecek
legge,kanun
agente,ajan
oltre,öte
avesse,vardı
servizio,hizmet
tanti,birçok
messaggio,mesaj
giornata,gün
faceva,o yapıyordu
energia,enerji
incredibile,inanılmaz
sala,oda
mandato,yetki
chiamare,Arama
doveva,nereye gidiyorsun
libero,özgür
aereo,uçak
ricevuto,kabul edilmiş
porti,limanlar
preoccuparti,endişelenmek
uh,uh
finalmente,Sonunda
quali,Hangi
stronzo,Pislik
mostro,canavar
sette,Yedi
pronta,hazır
metti,sen koydun
Henry,Henry
programma,plan
poteva,olabilir
parti,parçalar
saputo,bilinen
partita,kibrit
gentile,Tür
poter,yapabilmek için
freddo,Freddo
s',Evet
piacciono,Onlar hoşlarına gidiyor
Clark,Clark
vederti,seni görmek için
domande,istekler
peggio,daha kötüsü
sanno,Onlar biliyorlar.
genitori,ebeveynler
amica,arkadaş
solito,olağan
anima,ruh
terribile,korkunç
buonasera,İyi akşamlar
oro,altın
occhio,göz
si',Evet'
radio,radyo
quante,kaç tane
pieno,tam dolu
rapporto,ilişki
avrai,sahip olacaksınız
alcune,birisi
provare,denemek
carino,Sevimli
scoperto,keşif
America,Amerika
denaro,para
compagnia,şirket
interessante,ilginç
avvocato,avukat
t',T'
vestito,elbise
ottimo,Optimal
avevano,onların vardı
esercito,ordu
vestiti,kıyafetler
treno,tren
succedendo,olay
mese,ay
impossibile,imkansız
chiunque,kim olursa olsun
vale,buna değer
nello,içinde
milioni,milyonlarca
cibo,yiyecek
tempi,kez
jim,Jim
piu,Daha
laggiù,o tarafta
intorno,çevre
servono,hizmet ediyorlar
chiave,anahtar
coi,ile
diritto,Sağ
dimenticato,unutulmuş
ve,Sen
natale,Noel
calma,sakinlik
altrimenti,aksi takdirde
t,T
Miss,Kayıp
provato,sınanmış
dirlo,söyle
cinema,sinema
chiedere,sormak
ritardo,gecikme
realtà,gerçeklik
mare,deniz
maestro,usta
TV,TV
pagare,ödemek
pianeta,gezegen
fronte,alın
addosso,üzerimde
entrambi,ikisi birden
dia,gün
cambiato,değişti
interessa,Bu ilgi çekici.
assolutamente,kesinlikle
risposta,cevap
rispetto,Saygı
pena,penaltı
Gesù,İsa
Michael,Michael
incontro,rastlamak
cercato,arandı
occhiata,Bakmak
pensando,düşünme
cioè,Anlamı ne?
the,o
notizie,haberler
sorpresa,sürpriz
bastardo,piç
salute,Sağlık
lettera,mektup
incidente,kaza
grosso,büyük
soli,yalnız
mica,hiç de bile
sembrava,öyle görünüyordu
grado,derece
aiutare,yardım
sinistra,sol
dovevo,Yapmak zorundaydım
contento,mutlu
canzone,şarkı
sapeva,O biliyordu.
santo,kutsal
verrà,gelecek
saremo,biz olacağız
speciale,özel
diceva,dedi ki
posizione,konum
gruppo,grup
giuro,yemin ederim